INFO:     Started server process [5100]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8010 (Press CTRL+C to quit)
2026-09-10 14:41:07,986 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:41:07,988 | ERROR | rerun_vision | Vision call failed for faa2c1acf984.png: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:41:08,347 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:41:08,354 | INFO | openai._base_client | Retrying request to /chat/completions in 0.422598 seconds
2026-09-10 14:41:09,218 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:41:09,221 | ERROR | rerun_vision | Vision call failed for 7c31b045ac4e.png: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:41:09,223 | ERROR | rerun_vision | Vision circuit breaker tripped after 5 consecutive failures — skipping vision for remaining images in this run.
2026-09-10 14:41:09,787 | INFO | app.image_index | Loaded 3717 images from C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\image_chunks.json
2026-09-10 14:41:09,822 | INFO | app.image_index | Image index reloaded: 3717 records
2026-09-10 14:41:09,826 | INFO | ProjectRoutes | Image index reloaded after upload: 3717 records
2026-09-10 14:41:09,829 | INFO | ProjectRoutes | Chunking complete for 6581c97e — 8 chunks (project total: 8)
2026-09-10 14:41:12,512 | INFO | httpx | HTTP Request: POST https://ai-adoption-coe.services.ai.azure.com/openai/deployments/gpt-5.4/chat/completions?api-version=2025-01-01-preview "HTTP/1.1 200 OK"
2026-09-10 14:41:12,520 | INFO | app.claude_provider | claude_provider(azure): gen=1/2 deployment=gpt-5.4 finish=stop chars=700 budget=1100 effort=none
2026-09-10 14:42:13,684 | INFO | SOWSectionRoutes | Approved SOW section 0 (family: ['0']) for project f8dcc57a
2026-09-10 14:42:20,723 | INFO | httpx | HTTP Request: POST https://ai-adoption-coe.services.ai.azure.com/openai/deployments/gpt-5.4/chat/completions?api-version=2025-01-01-preview "HTTP/1.1 200 OK"
2026-09-10 14:42:20,730 | INFO | app.claude_provider | claude_provider(azure): gen=1/2 deployment=gpt-5.4 finish=stop chars=98 budget=500 effort=none
2026-09-10 14:42:20,732 | INFO | app.image_injection | Image relevance check for 'Scope of Work': 1 candidate(s) -> 1 kept
2026-09-10 14:42:44,275 | INFO | httpx | HTTP Request: POST https://ai-adoption-coe.services.ai.azure.com/openai/deployments/gpt-5.4/chat/completions?api-version=2025-01-01-preview "HTTP/1.1 200 OK"
2026-09-10 14:42:44,281 | INFO | app.claude_provider | claude_provider(azure): gen=1/2 deployment=gpt-5.4 finish=stop chars=8163 budget=3200 effort=none
2026-09-10 14:44:24,489 | INFO | SOWSectionRoutes | Approved SOW section 1 (family: ['1', '1.1', '1.2', '1.3', '1.4']) for project f8dcc57a
2026-09-10 14:44:30,707 | INFO | httpx | HTTP Request: POST https://ai-adoption-coe.services.ai.azure.com/openai/deployments/gpt-5.4/chat/completions?api-version=2025-01-01-preview "HTTP/1.1 200 OK"
2026-09-10 14:44:30,711 | INFO | app.claude_provider | claude_provider(azure): gen=1/2 deployment=gpt-5.4 finish=stop chars=80 budget=500 effort=none
2026-09-10 14:44:30,714 | INFO | app.image_injection | Image relevance check for 'General Terms': 1 candidate(s) -> 1 kept
2026-09-10 14:44:47,191 | INFO | httpx | HTTP Request: POST https://ai-adoption-coe.services.ai.azure.com/openai/deployments/gpt-5.4/chat/completions?api-version=2025-01-01-preview "HTTP/1.1 200 OK"
2026-09-10 14:44:47,197 | INFO | app.claude_provider | claude_provider(azure): gen=1/2 deployment=gpt-5.4 finish=stop chars=4012 budget=2100 effort=none
2026-09-10 14:46:14,469 | INFO | SOWSectionRoutes | Approved SOW section 2 (family: ['2.1', '2.2', '2.3']) for project f8dcc57a
